Placa;Data Posicao;Velocidade;Ignicao;Bloqueio;Bateria;Rua;Cidade;Estado;Latitude/Longitute;Memoria;Odometro;RPM;Temperatura;Temperatura;Satelite;Alerta Interno;Sinal GPS
ITG7322;31/01/2018 17:43:46;78;Ligada;Nao;28;AC P/ Rod Edgard Máximo Zambotto;Atibaia;SP;-23.0443,-46.6749;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:41:46;75;Ligada;Nao;27;Rod D Pedro I;Jarinu;SP;-23.0375,-46.6981;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:39:46;80;Ligada;Nao;27;Rod D Pedro I;Jarinu;SP;-23.0358,-46.7246;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:37:46;78;Ligada;Nao;27;Rod D Pedro I;Itatiba;SP;-23.0288,-46.7480;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:35:46;78;Ligada;Nao;27;Rod D Pedro I;Itatiba;SP;-23.0120,-46.7644;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:33:46;68;Ligada;Nao;27;Rod D Pedro I;Itatiba;SP;-22.9993,-46.7836;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:31:46;74;Ligada;Nao;27;Acesso;Itatiba;SP;-22.9887,-46.8030;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:29:46;43;Ligada;Nao;27;Rod D Pedro I;Itatiba;SP;-22.9820,-46.8227;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:27:46;0;Ligada;Nao;27;Sem nome;Itatiba;SP;-22.9804,-46.8259;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:27:07;0;Ligada;Nao;25;Sem nome;Itatiba;SP;-22.9804,-46.8259;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:26:33;0;Desligada;Nao;25;Sem nome;Itatiba;SP;-22.9804,-46.8259;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:25:47;0;Desligada;Nao;25;Sem nome;Itatiba;SP;-22.9804,-46.8259;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:21:47;0;Desligada;Nao;25;Sem nome;Itatiba;SP;-22.9804,-46.8259;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:17:47;0;Desligada;Nao;25;Sem nome;Itatiba;SP;-22.9804,-46.8259;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:13:47;0;Desligada;Nao;25;Sem nome;Itatiba;SP;-22.9804,-46.8259;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:09:47;0;Desligada;Nao;26;Sem nome;Itatiba;SP;-22.9804,-46.8259;Nao;0;;-125;-125;Nao;Nao;Valido
ITG7322;31/01/2018 17:09:11;0;Desligada;Nao;26;Sem nome;Itatiba;SP;-22.9804,-46.8259;Nao;0;;-125;-125;Nao;Nao;Valido
